kotodama-i18n-v1	76	15
language	no_functions	unsupported_binary_op	unknown_param	read_file	parser_error	semantic_error	lint_unused_state	lint_state_shadowed_param	lint_state_shadowed_binding	lint_state_shadowed_map_binding	lint_unused_parameter	lint_unreachable_after_return	lint_ok	lint_usage	lint_usage_help
Pashto	د کمپایل لپاره هېڅ فنکشن شتون نه لري	Kotodama compiler hint: {op}	نامعلوم پارامیټر {name}	دوتنه {path} نه شي لوستل کېدای: {error}	پارسر تېروتنه: {error}	منځپانګه يي تېروتنه: {error}	حالت `{name}` اعلان شوی خو هېڅکله نه کارېږي	پارامیټر `{name}` په فنکشن `{func}` کې حالت `{name}` پټوي؛ د حالت لاسرسي لپاره د پارامیټر نوم بدل کړئ	تړاو `{name}` په فنکشن `{func}` کې حالت `{name}` پټوي؛ د لاسرسي ساتلو لپاره د تړاو نوم بدل کړئ	کله چې فنکشن `{func}` پر نقشه ګرځي، تړاو `{name}` حالت `{name}` پټوي	پارامیټر `{name}` په فنکشن `{func}` کې هېڅکله نه کارېږي	په {context} کې نه رسیېدونکی عبارت وموندل شو: د return وروسته کوډ هېڅکله نه اجرا کېږي	سمه ده	کارونه: koto check <file.ko> [<file2.ko> ...]	د ورکړل شويو سرچینو لپاره د Kotodama lint تفتیشونه چلوئ.
Saraiki	کمپائل کیتے کوئی فنکشن موجود نئیں	Kotodama compiler hint: {op}	نامعلوم پیرامیٹر {name}	فائل {path} پڑھن وچ ناکام: {error}	پارسر دی غلطی: {error}	معنوی غلطی: {error}	حالت `{name}` دا اعلان تھی ڳیا ہے، پر اوہدے نال کوئی کم نئیں تھیندا	فنکشن `{func}` وچ `{name}` پیرامیٹر حالت `{name}` نوں اوجھل کریندا اے؛ حالت تک رسائی لئی پیرامیٹر دا ناں بدل دواو	فنکشن `{func}` وچ `{name}` ربط حالت `{name}` نوں اوجھل کریندا اے؛ رسائی برقرار رکھن لئی ربط دا ناں بدل دواو	جدوں `{func}` نقشے تے گشت کریندا اے، `{name}` ربط حالت `{name}` نوں اوجھل کریندا اے	فنکشن `{func}` وچ `{name}` پیرامیٹر کدے استعمال نئیں تھیندا	{context} وچ نا رسائی والا جملہ ملیا؛ return توں بعد والا کوڈ کدی وی نئیں چلدا	ٹھیک	استعمال: koto check <file.ko> [<file2.ko> ...]	دتی ڳئی سورساں تے Kotodama lint چلاو.
Tatar	Компиляция өчен функцияләр юк	Kotodama compiler hint: {op}	Билгесез параметр {name}	{path} файлын укып булмады: {error}	Парсер хатасы: {error}	Семантик хатасы: {error}	`{name}` хәле белдерелгән, ләкин кулланылмый	`{func}` функциясендәге `{name}` параметры `{name}` хәлен каплый; хәлгә керү өчен параметр исемен алыштырыгыз	`{func}` функциясендәге `{name}` бәйләнеше `{name}` хәлен каплый; хәлгә юлны саклау өчен бәйләнеш исемен алыштырыгыз	`{func}` функциясе карта буенча барганда `{name}` бәйләнеше `{name}` хәлен каплый	`{func}` функциясендәге `{name}` параметры бөтенләй кулланылмый	{context} эчендә үтәлми торган оператор табылды: return-нан соң код эшләми	яхшы	Куллану: koto check <file.ko> [<file2.ko> ...]	Бирелгән чыганаклар өчен Kotodama lint-ларын эшләтегез.
Somali	Wax shaqo ah looma helin si loo kobaayo	Kotodama compiler hint: {op}	Halbeeg aan la aqoon {name}	Waxaa ku guuldareystay in la akhriyo faylka {path}: {error}	Khalad furaha: {error}	Khalad macne: {error}	xaaladda `{name}` waa la sheegay balse waligeed lama isticmaalin	halbeegga `{name}` ee ku jira shaqada `{func}` wuxuu qariya xaaladda `{name}`; beddel magaca halbeegga si aad u gasho xaaladda	isku xidhka `{name}` ee shaqada `{func}` wuxuu qariya xaaladda `{name}`; beddel magaca isku xidhka si helitaanka loo sii hayo	marka shaqada `{func}` ay dul marayso khariidadda, isku xidhka `{name}` wuxuu qariya xaaladda `{name}`	halbeegga `{name}` ee shaqada `{func}` lama adeegsado marnaba	waxaa laga helay hadal aan la gaadhi karin gudaha {context}: koodhka ka dambeeya return marnaba ma fulayo	wacan	Isticmaal: koto check <file.ko> [<file2.ko> ...]	Ka shaqee jeegagga lint ee Kotodama ee isha la siiyay.
Sundanese	Teu aya fungsi pikeun dikompilasi	Kotodama compiler hint: {op}	Paraméter teu dipikawanoh {name}	Gagal maca berkas {path}: {error}	Kasalahan parser: {error}	Kasalahan semantik: {error}	state `{name}` geus diumumkeun tapi teu kungsi dipaké	paraméter `{name}` dina fungsi `{func}` nyumputkeun state `{name}`; ganti ngaran paraméter pikeun ngaksés state	binding `{name}` dina fungsi `{func}` nyumputkeun state `{name}`; ganti ngaran binding supaya aksés kana state tetep aya	binding `{name}` dina fungsi `{func}` nyumputkeun state `{name}` nalika iterasi map	paraméter `{name}` dina fungsi `{func}` teu kungsi dipaké	pernyataan teu kahontal kapanggih dina {context}: kode sanggeus return moal kungsi dijalankeun	hasil	Pamakéan: koto check <file.ko> [<file2.ko> ...]	Jalankeun lint Kotodama kana sumber anu disadiakeun.
Shona	Hapana basa rekukompaira	Kotodama compiler hint: {op}	Paramita isingazivikanwe {name}	Takatadza kuverenga faira {path}: {error}	Kukanganisa kweparser: {error}	Kukanganisa kwekuudzirwa: {error}	mamiriro `{name}` akaziviswa asi haashandiswe	paramita `{name}` mubasa `{func}` inovanza mamiriro `{name}`; chinja zita reparamita kuti uwane mamiriro acho	kusunga `{name}` mubasa `{func}` kunovanza mamiriro `{name}`; chinja zita rekusunga kuti ugare uchiwana mamiriro acho	kusunga `{name}` mubasa `{func}` kunovanza mamiriro `{name}` panguva yekudzokorora mepu	paramita `{name}` mubasa `{func}` haishandiswe zvachose	chirevo chisvikike chawanikwa mu {context}: kodhi iri mushure me return haitombomhanya	zvakanaka	Mashandisiro: koto check <file.ko> [<file2.ko> ...]	Mhanya ongororo dze lint dzeKotodama pamafaira akapiwa.
Swahili	Hakuna kazi za kukusanya	Kotodama compiler hint: {op}	Kigezo kisichojulikana {name}	Imeshindikana kusoma faili {path}: {error}	Hitilafu ya parser: {error}	Hitilafu ya maana: {error}	hali `{name}` imetangazwa lakini haitumiki kamwe	kigezo `{name}` kwenye kazi `{func}` kinaficha hali `{name}`; badilisha jina la kigezo ili kufikia hali	binding `{name}` kwenye kazi `{func}` inaficha hali `{name}`; badilisha jina la binding ili kudumisha ufikiaji	binding `{name}` kwenye kazi `{func}` inaficha hali `{name}` wakati wa kuzunguka ramani	kigezo `{name}` kwenye kazi `{func}` hakitumiki kamwe	tamko lisiloweza kufikiwa limegunduliwa katika {context}: msimbo baada ya return hautatekelezwa kamwe	sawa	Matumizi: koto check <file.ko> [<file2.ko> ...]	Endesha ukaguzi wa lint wa Kotodama kwenye chanzo kilichotolewa.
Oromo	Faankishiniin kómpaayiluuf hin jiru	Kotodama compiler hint: {op}	Paaramitarri hin beekamne {name}	Faayilii {path} dubbisuu hin dandeenye: {error}	Dogoggora parser: {error}	Dogoggora hiikaa: {error}	haalata `{name}` ni ibsame karaa tokko iyyuu hin fayyadamamu	paaramitarri `{name}` faankishinii `{func}` keessatti haalata `{name}` dhoksa; haalata sana bira gahuf maqaa paaramitaraa jijjiiri	hidhamiinsi `{name}` faankishinii `{func}` keessatti haalata `{name}` dhoksa; hidhamiinsa maqaa jijjiiri akka seeraan seenu dandeessu	yeroo map irra deebi'aa jirutti hidhamiinsi `{name}` faankishinii `{func}` keessatti haalata `{name}` dhoksa	paaramitarri `{name}` faankishinii `{func}` keessatti yeroo hunda hin fayyadamamu	ibsa gara hin geenye {context} keessatti argame; koodiin return boodaa hin hojjetu	tole	Fayyadama: koto check <file.ko> [<file2.ko> ...]	Bu'uuraalee kennaman irratti sakatta'iinsa lint Kotodama hojjechiisu.
Igbo	Enweghị ọrụ iji kọnpịa	Kotodama compiler hint: {op}	Parámịtà amaghi {name}	Agụghị faịlụ {path}: {error}	Mperi parser: {error}	Mperi nkọwa: {error}	etinyere ọnọdụ `{name}` mana a naghị eji ya eme ihe	parámịtà `{name}` n'ọrụ `{func}` na-eme ka ọnọdụ `{name}` daa n'ọnwụ; gbanwee aha parámịtà iji nweta ọnọdụ ahụ	njikọ `{name}` n'ọrụ `{func}` na-ekpuchi ọnọdụ `{name}`; gbanwee aha njikọ iji debe ohere	n'oge a na-emegharị map n'ọrụ `{func}`, njikọ `{name}` na-ekpuchi ọnọdụ `{name}`	parámịtà `{name}` n'ọrụ `{func}` adịghị eji ya eme ihe	achọpụtara okwu a na-agaghị enweta na {context}: koodu dị mgbe return anaghị agba ọsọ	ọ dị mma	Ojiji: koto check <file.ko> [<file2.ko> ...]	Gbaa nyocha lint Kotodama na isi mmalite enyere.
Yoruba	Ko si iṣẹ́ kankan láti kóńpáílì	Kotodama compiler hint: {op}	Paramíta tí a kò mọ̀ {name}	A kùnà láti kà fáìlì {path}: {error}	Aṣiṣe parser: {error}	Aṣiṣe ìtumọ̀: {error}	ipò `{name}` ni a kede ṣùgbọ́n a kò lo rárá	paramíta `{name}` nínú iṣẹ́ `{func}` ń bọ̀ ipò `{name}` mọ́lẹ̀; ṣe àtún-orúkọ paramíta náà kí o lè wọlé sí ipò náà	ìdípọ̀ `{name}` nínú iṣẹ́ `{func}` ń bọ̀ ipò `{name}` mọ́lẹ̀; ṣe àtún-orúkọ ìdípọ̀ náà kí ìwọlé má bàjẹ́	nígbà tí iṣẹ́ `{func}` ń yí map ká, ìdípọ̀ `{name}` ń bọ̀ ipò `{name}` mọ́lẹ̀	paramíta `{name}` nínú iṣẹ́ `{func}` kò ṣeé lò rárá	a rí ìkílọ̀ pé àṣẹ kan kò lè dé ní {context}: kóòdù lẹ́yìn return kì yóò ṣiṣẹ́ rí	ó dáa	Bí a ṣe ń lò ó: koto check <file.ko> [<file2.ko> ...]	Ṣìṣe àwọn àyẹ̀wò lint Kotodama lórí àwôn orísun tí a fún ni.
Zulu	Awekho ukusebenza okumele kuhlanganiswe	Kotodama compiler hint: {op}	Ipharamitha engaziwa {name}	Yehlulekile ukufunda ifayela {path}: {error}	Iphutha lomhlaziyi: {error}	Iphutha lokuchaza: {error}	isimo `{name}` simenyezelwe kodwa asikaze sisetshenziswe	ipharamitha `{name}` kumsebenzi `{func}` ifihla isimo `{name}`; shintsha igama lepharamitha ukuze ufinyelele esimisweni	ibinding `{name}` kumsebenzi `{func}` ifihla isimo `{name}`; shintsha igama le binding ukuze ugcine ukufinyelela	ibinding `{name}` kumsebenzi `{func}` ifihla isimo `{name}` ngesikhathi uhamba nge mapa	iphapharamitha `{name}` kumsebenzi `{func}` ayisetshenziswa nhlobo	kutholwe isitatimende esingafinyeleleki ku {context}: ikhodi elandela return ayisoze isebenze	kulungile	Ukusetshenziswa: koto check <file.ko> [<file2.ko> ...]	Sebenzisa ukuhlola kwe-lint ye-Kotodama kuma-source anikeziwe.
Dutch	Geen functies om te compileren	Kotodama compiler hint: {op}	Onbekende param {name}	Kan niet lezen {path}: {error}	parserfout: {error}	semantische fout: {error}	State `{name}` is gedeclareerd maar wordt nooit gebruikt	De parameter `{name}` in functie `{func}` verbergt state `{name}`; hernoem de parameter om toegang te krijgen tot de state	De binding `{name}` in functie `{func}` verbergt state `{name}`; hernoem de binding om toegang te behouden	De binding `{name}` in functie `{func}` verbergt state `{name}` tijdens het itereren over de map	De parameter `{name}` in functie `{func}` wordt nergens gebruikt	Onbereikbare instructie gedetecteerd in {context}: code na return wordt nooit uitgevoerd	ok	Gebruik: koto check <file.ko> [<file2.ko> ...]	Voert de Kotodama-lints uit op de opgegeven bronnen.
Danish	Ingen funktioner at kompilere	Kotodama compiler hint: {op}	Ukendt parameter {name}	Kunne ikke læse filen {path}: {error}	Parserfejl: {error}	Semantisk fejl: {error}	State `{name}` er erklæret men bruges aldrig	Parameteren `{name}` i funktionen `{func}` skjuler state `{name}`; omdøb parameteren for at få adgang	Bindingen `{name}` i funktionen `{func}` skjuler state `{name}`; omdøb bindingen for at bevare adgangen	Bindingen `{name}` i funktionen `{func}` skjuler state `{name}` under iteration over et map	Parameteren `{name}` i funktionen `{func}` bliver aldrig brugt	Utilgængelig sætning fundet i {context}: kode efter return bliver aldrig kørt	ok	Brug: koto check <file.ko> [<file2.ko> ...]	Kører Kotodamas lint-tjek på de angivne kilder.
Norse	Ingen funksjoner å kompilere	Kotodama compiler hint: {op}	Ukjent parameter {name}	Klarte ikke å lese filen {path}: {error}	Parserfeil: {error}	Semantisk feil: {error}	Tilstand `{name}` er erklært, men blir aldri brukt	Parameteren `{name}` i funksjonen `{func}` skjuler tilstanden `{name}`; gi parameteren nytt navn for å få tilgang til tilstanden	Bindingen `{name}` i funksjonen `{func}` skjuler tilstanden `{name}`; gi bindingen nytt navn for å holde tilgangen åpen	Når funksjonen `{func}` går gjennom et kart, skjuler bindingen `{name}` tilstanden `{name}`	Parameteren `{name}` i funksjonen `{func}` blir aldri brukt	Fant en utilgjengelig setning i {context}: kode etter en return blir ikke kjørt	bra	Bruk: koto check <file.ko> [<file2.ko> ...]	Kjør Kotodama-lintene på de oppgitte kildene.
Finnish	Ei funktioita käännettäväksi	Kotodama compiler hint: {op}	Tuntematon parametri {name}	Tiedoston {path} lukeminen epäonnistui: {error}	Jäsenninvirhe: {error}	Semanttinen virhe: {error}	Tila `{name}` on määritelty mutta sitä ei koskaan käytetä	Parametri `{name}` funktiossa `{func}` peittää tilan `{name}`; nimeä parametri uudelleen käyttääksesi tilaa	Sidonta `{name}` funktiossa `{func}` peittää tilan `{name}`; nimeä sidonta uudelleen säilyttääksesi pääsyn	Sidonta `{name}` funktiossa `{func}` peittää tilan `{name}` map-iteroinnin aikana	Parametria `{name}` funktiossa `{func}` ei käytetä	Havaittiin saavuttamaton lause kontekstissa {context}: returnin jälkeistä koodia ei koskaan suoriteta	ok	Käyttö: koto check <file.ko> [<file2.ko> ...]	Ajaa Kotodaman lint-tarkistukset annetuissa lähdekooditiedostoissa.
Estonian	Pole funktsioone kompileerimiseks	Kotodama compiler hint: {op}	Tundmatu parameeter {name}	Faili {path} lugemine ebaõnnestus: {error}	Parsimisviga: {error}	Semantiline viga: {error}	olek `{name}` on deklareeritud, kuid seda ei kasutata	funktsiooni `{func}` parameeter `{name}` varjab olekut `{name}`; nimeta parameeter ümber, et olekule ligi pääseda	funktsiooni `{func}` sidumine `{name}` varjab olekut `{name}`; nimeta sidumine ümber, et ligipääs säiliks	funktsiooni `{func}` kaardi itereerimisel varjab sidumine `{name}` olekut `{name}`	funktsiooni `{func}` parameetrit `{name}` ei kasutata	{context} puhul leiti kättesaamatu lause: return'i järgset koodi ei käivitata kunagi	ok	Kasutamine: koto check <file.ko> [<file2.ko> ...]	Käivita Kotodama lint kontrollid antud lähtekoodidel.
Latvian	Nav funkciju apkopošanai	Kotodama compiler hint: {op}	Nezināms param {name}	Neizdevās lasīt {path}: {error}	parsētāja kļūda: {error}	semantiskā kļūda: {error}	stāvoklis `{name}` ir deklarēts, bet nekad netiek izmantots	parametrs `{name}` funkcijā `{func}` nosedz stāvokli `{name}`; pārdēvējiet parametru, lai piekļūtu stāvoklim	piesaiste `{name}` funkcijā `{func}` nosedz stāvokli `{name}`; pārdēvējiet piesaisti, lai saglabātu piekļuvi	funkcijas `{func}` kartes iterācijas laikā piesaiste `{name}` nosedz stāvokli `{name}`	parametrs `{name}` funkcijā `{func}` netiek izmantots	konstatēts neaizsniedzams teikums {context}: kods pēc return nekad netiek izpildīts	labi	Lietošana: koto check <file.ko> [<file2.ko> ...]	Palaidiet Kotodama lint pārbaudes uz norādītajiem avotiem.
Hungarian	Nincs függvény a fordításhoz	Kotodama compiler hint: {op}	Ismeretlen paraméter {name}	A(z) {path} fájl olvasása sikertelen: {error}	Elemző hiba: {error}	Szemantikai hiba: {error}	A(z) `{name}` állapot deklarálva van, de soha nem kerül használatra	A(z) `{func}` függvény `{name}` paramétere elfedi a(z) `{name}` állapotot; nevezze át a paramétert az állapot eléréséhez	A(z) `{func}` függvény `{name}` kötése elfedi a(z) `{name}` állapotot; nevezze át a kötést az állapothoz való hozzáférés megtartásához	A(z) `{func}` függvény map bejárása közben a(z) `{name}` kötés elfedi a(z) `{name}` állapotot	A(z) `{func}` függvény `{name}` paramétere nincs használva	Nem elérhető utasítást találtunk itt: {context}; a return utáni kód nem fog lefutni	rendben	Használat: koto check <file.ko> [<file2.ko> ...]	Futtassa a Kotodama lint ellenőrzéseket a megadott forrásokon.
Czech	Žádné funkce ke kompilaci	Kotodama compiler hint: {op}	Neznámý param {name}	Nepodařilo se číst {path}: {error}	Chyba analyzátoru: {error}	sémantická chyba: {error}	Stav `{name}` je deklarován, ale nikdy se nepoužívá	Parametr `{name}` ve funkci `{func}` skrývá stav `{name}`; přejmenujte parametr, abyste se ke stavu dostali	Vazba `{name}` ve funkci `{func}` skrývá stav `{name}`; přejmenujte vazbu, abyste zachovali přístup	Vazba `{name}` ve funkci `{func}` skrývá stav `{name}` během iterace mapy	Parametr `{name}` ve funkci `{func}` se nikde nepoužívá	V kontextu {context} byla nalezena nedosažitelná instrukce: kód za return se nikdy nespustí	ok	Použití: koto check <file.ko> [<file2.ko> ...]	Spustí linty Kotodama nad zadanými zdrojovými soubory.
Lao	ບໍ່ມີຟັງຊັນໃຫ້ຄອມໄພ	Kotodama compiler hint: {op}	ພາຣາມິເຕີທີ່ບໍ່ຮູ້ຈັກ {name}	ບໍ່ສາມາດອ່ານໄຟລ໌ {path}: {error}	ເກີດຄວາມຜິດພາດຈາກ parser: {error}	ເກີດຄວາມຜິດພາດດ້ານໃນເນື້ອຫາ: {error}	state `{name}` ໄດ້ຖືກປະກາດແຕ່ບໍ່ເຄີຍນຳໃຊ້	ພາຣາມິເຕີ `{name}` ໃນຟັງຊັນ `{func}` ບັງ state `{name}`; ກະລຸນາປ່ຽນຊື່ພາຣາມິເຕີເພື່ອເຂົ້າເຖິງ state	ການຜູກ `{name}` ໃນຟັງຊັນ `{func}` ບັງ state `{name}`; ກະລຸນາປ່ຽນຊື່ການຜູກເພື່ອຮັກສາການເຂົ້າເຖິງ	ການຜູກ `{name}` ໃນຟັງຊັນ `{func}` ບັງ state `{name}` ໃນຂະນະທີ່ວົງຈອນ map	ພາຣາມິເຕີ `{name}` ໃນຟັງຊັນ `{func}` ບໍ່ເຄີຍນຳໃຊ້	ພົບຄຳສັ່ງທີ່ບໍ່ສາມາດເຂົ້າເຖິງໄດ້ໃນ {context}: ໂຄດຫຼັງ return ຈະບໍ່ຖືກເຮັດວຽກ	ສຳເລັດ	ວິທີໃຊ້: koto check <file.ko> [<file2.ko> ...]	ເຮັດການກວດ lint ຂອງ Kotodama ກັບແຫຼ່ງທີ່ໃຫ້ມາ.
Indonesian	Tidak ada fungsi untuk dikompilasi	Kotodama compiler hint: {op}	Parameter tidak dikenal {name}	Gagal membaca berkas {path}: {error}	Kesalahan parser: {error}	Kesalahan semantik: {error}	state `{name}` dideklarasikan tetapi tidak pernah digunakan	parameter `{name}` pada fungsi `{func}` menyembunyikan state `{name}`; ganti nama parameter untuk mengakses state	binding `{name}` pada fungsi `{func}` menyembunyikan state `{name}`; ganti nama binding untuk mempertahankan akses ke state	binding `{name}` pada fungsi `{func}` menyembunyikan state `{name}` saat iterasi map	parameter `{name}` pada fungsi `{func}` tidak pernah digunakan	pernyataan tidak dapat dijangkau terdeteksi di {context}: kode setelah return tidak akan pernah dijalankan	berhasil	Penggunaan: koto check <file.ko> [<file2.ko> ...]	Jalankan lint Kotodama pada sumber yang diberikan.
Pijin	Nogat fankson fo kompailim	Kotodama compiler hint: {op}	Parameta ia yumi no save {name}	Fail fo ridim fael {path}: {error}	Parser i mekem mistek: {error}	Semantik eria: {error}	State `{name}` hemi bin olsem bat hemi no yusim nating	Parameter `{name}` long function `{func}` i haedem state `{name}`; senisim nem blong parameter blong kasem state	Binding `{name}` long function `{func}` i haedem state `{name}`; senisim nem blong binding blong mekem state i stap open	Taem `{func}` i raun ova long map, binding `{name}` i haedem state `{name}`	Parameter `{name}` long function `{func}` i no yusim nating	Statement insaed long {context} i no save kasem; kode bihaen long return i no ron	oraet	Yus: koto check <file.ko> [<file2.ko> ...]	Ronim Kotodama lint long ol fael we iu givim.
Divehi	ކޮމްޕައިލް ކުރުމަށް ފަންކްޝަނެއް ނެތް	Kotodama compiler hint: {op}	ނޭނގޭ ޕެރަމީޓަރ {name}	{path} ކިޔާކުރުމަށް ނުކުރެވުނެވެ: {error}	ޕާސަރ އެރޯރ: {error}	ސެމެންޓިކް އެރޯރ: {error}	`{name}` ސްޓޭޓް އަދިކަމަށް ބޭނުންކޮށް ބަލައިފި، އެއްވެސް ނުބަލާ	`{func}` މާނައަޅުގެ `{name}` ޕެރަމީޓަރު `{name}` ސްޓޭޓް ފަރުވާނެ؛ ސްޓޭޓް ބަލާންވީ ފަސް ޕެރަމީޓަރުގެ ނަން ބަލާލުން	`{func}` މާނައަޅުގެ `{name}` ބައިންޑިން `{name}` ސްޓޭޓް ފަރުވާނެ؛ ސްޓޭޓް ބަލާންވީ ފަސް ބައިންޑިންގެ ނަން ބަލާލުން	`{func}` މާނައަޅު މޭޕް ހޯދެއްޖެހޭގޮތަކަށް `{name}` ބައިންޑިން `{name}` ސްޓޭޓް ފަރުވާނެ	`{func}` މާނައަޅުގެ `{name}` ޕެރަމީޓަރު ބައެއްވެސް ނުބަލާ	{context} ގައި ދެކެވެސް ނުފެނުނު ސްޓޭޓްމަންޓެއް ލިބި؛ return ކުރުމުގެ ފަހަރު ކޯޑު ނުހަރައްދޭ	ރަނގަޅު	ޔޫސް: koto check <file.ko> [<file2.ko> ...]	ދެވެނި ފައިލުން ތަކެތި Kotodama lint ރަންކަމުގެ.
Manchurian	Kompilacijangga fungsi akū	Kotodama compiler hint: {op}	Beye hūwa parametar akū {name}	Beye bithe {path} sabuha bolodahūn akū: {error}	Parser sain akū: {error}	Semantika sain akū: {error}	`{name}` state ilanaha, bicike ufarakū	`{func}` function-i `{name}` parameter `{name}` state be hūlha; state de tucire de parameter mingge be muterengge	`{func}` function-i `{name}` binding `{name}` state be hūlha; state-i tucibume sain binding mingge be muterengge	`{func}` function map be jergi sindara seme `{name}` binding `{name}` state be hūlha	`{func}` function-i `{name}` parameter afara seme ufarakū	{context} de dorgi akū gisun narhūn tucibufi; return-i ice code gemu bihire	saikan	Kihebe: koto check <file.ko> [<file2.ko> ...]	Gisurehe faile be emu biya Kotodama lint de bahafi tucimbi.
